"FTE Staffing Report for Trend"

"",,,"Year",,,,
="Hartland School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.5,0.4,0.5,1.0,.
,"General Education - Paraprofessional Instructional Assistants","Non-Certified",1.3,1.0,3.4,3.4,4.9
,="General Education - Teachers and Instructors",="Certified",17.9,18.0,18.4,18.4,17.9
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.8,7.0,6.2,6.3,6.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.9,3.0,1.0,1.0,0.5
,="Special Education - Teachers and Instructors",="Certified",1.1,.,1.0,1.0,.
,"Instructional Specialists Who Support Teachers","Certified",0.2,0.5,0.3,0.2,.
,"Administrators  Coordinators and Department Chairs - District Central Office","Certified",0.4,0.4,0.4,0.4,0.4
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Hebron School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,2.5,2.5
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.5,7.5,9.2,8.8,9.0
,="General Education - Teachers and Instructors",="Certified",65.2,61.7,60.2,57.1,55.2
,="Library/Media - Support Staff",="Non-Certified",1.0,0.5,1.0,1.5,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",35.6,36.1,37.1,42.4,42.0
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",35.5,33.5,31.5,26.9,25.4
,="Special Education - Teachers and Instructors",="Certified",11.0,11.3,10.3,10.5,10.5
,="Instructional Specialists Who Support Teachers",="Certified",7.9,7.9,6.9,7.0,6.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,2.0,3.5,2.5,2.5
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,.,1.0
="Highville Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,1.0,3.0,5.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.0,8.0,9.0,7.0
,="General Education - Teachers and Instructors",="Certified",19.0,20.0,27.0,25.8,23.8
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5,7.5,14.0,4.0,8.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,2.0,1.2,1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",.,.,1.0,.,1.0
="Integrated Day Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,3.0,3.0,3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",.,1.0,1.0,1.0,1.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5,7.0,6.0,7.0,8.5
,="General Education - Teachers and Instructors",="Certified",18.5,19.1,19.1,19.4,17.0
,="Library/Media - Support Staff",="Non-Certified",1.4,1.0,1.0,1.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.0,10.5,8.2,9.7,10.0
,="School Nurses",="Non-Certified",0.7,0.7,0.7,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,1.0,2.0,1.5,1.5
,="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="Instructional Specialists Who Support Teachers",="Certified",.,0.5,1.3,1.3,4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",.,.,.,.,1.0
="Interdistrict School for Arts and Comm District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,3.0,1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.2,1.7,2.2
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.8,0.0,0.4,1.0,0.0
,="General Education - Teachers and Instructors",="Certified",13.4,13.5,14.2,18.5,17.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.5,4.5,6.7,8.4,9.4
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,5.0,2.0,3.0,5.0
,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,5.1,5.0,6.0
,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,0.8,0.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",.,.,.,.,1.0
="Jumoke Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,4.0,2.0,4.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,.,.,.
,"General Education - Paraprofessional Instructional Assistants","Non-Certified",14.5,17.0,21.0,24.0,31.5
,="General Education - Teachers and Instructors",="Certified",26.0,26.0,31.0,35.0,39.0
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,0.5,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.0,11.0,23.0,19.0,19.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.5,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,3.0,3.0
,="Special Education - Teachers and Instructors",="Certified",2.0,1.0,1.0,2.0,4.4
,="Instructional Specialists Who Support Teachers",="Certified",.,1.0,.,1.0,1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",.,.,.,3.0,.
"Kent School District","Administrators  Coordinators and Department Chairs - School Level","Certified",1.0,1.0,1.0,1.0,1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.9,2.9,2.9,2.9,2.9
,="General Education - Teachers and Instructors",="Certified",24.7,25.1,24.1,25.5,26.5
,="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.8,0.8,0.8
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.5,9.5,9.5,9.5,9.5
,="School Nurses",="Non-Certified",0.8,0.8,0.8,0.8,0.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,6.5,6.8,5.8,5.8
,="Special Education - Teachers and Instructors",="Certified",3.5,3.5,3.5,2.5,3.5
,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.5,0.5,0.5,0.5,0.5
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Killingly School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.4,11.4,11.6,10.8,12.1
,="Counselors  Social Workers  and School Psychologists",="Certified",18.6,17.6,18.6,17.6,16.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",79.5,15.0,15.0,17.5,26.5
,="General Education - Teachers and Instructors",="Certified",175.8,170.8,173.2,166.4,169.6
,="Library/Media - Support Staff",="Non-Certified",2.0,3.0,3.0,3.0,3.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",139.5,132.5,111.0,140.0,142.0
,="School Nurses",="Non-Certified",7.5,8.0,8.0,6.5,6.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",59.0,58.0,62.0,69.5,71.5
,="Special Education - Teachers and Instructors",="Certified",29.0,30.0,29.0,27.0,26.0
,="Instructional Specialists Who Support Teachers",="Certified",6.8,7.7,7.7,6.8,7.1
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,3.0,3.0,4.0,4.0
,="Library/Media - Specialists (Certified)",="Certified",4.0,3.0,3.0,3.0,3.0
="Learn",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.5,9.7,9.7,13.0,13.4
,="Counselors  Social Workers  and School Psychologists",="Certified",4.3,5.6,8.7,12.1,13.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",53.6,52.3,55.2,66.5,75.1
,="General Education - Teachers and Instructors",="Certified",79.4,96.0,113.1,140.6,146.2
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",128.0,134.4,135.5,137.5,153.7
,="School Nurses",="Non-Certified",3.1,3.8,4.1,5.1,5.6
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.8,22.0,25.8,32.8,37.9
,="Special Education - Teachers and Instructors",="Certified",32.9,28.0,32.0,36.0,34.7
,="Instructional Specialists Who Support Teachers",="Certified",8.5,7.2,5.9,10.6,23.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,3.0,3.0,3.4
,="Library/Media - Specialists (Certified)",="Certified",0.8,0.8,0.8,0.8,2.8
="Lebanon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.5,4.5,4.9,4.4,4.4
,="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,6.0,6.0,6.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,6.5,6.0,2.5,5.0
,="General Education - Teachers and Instructors",="Certified",95.1,92.1,83.6,83.4,79.6
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.5,0.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",63.4,60.4,59.5,55.5,55.0
,="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",20.0,23.0,27.0,33.0,30.0
,="Special Education - Teachers and Instructors",="Certified",12.0,12.4,12.4,12.0,12.6
,="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,3.5,3.5,2.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,3.0,2.5,3.0,3.0
,="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,2.0,2.0,2.0
="Ledyard School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.0,11.5,11.0,11.7,12.7
,="Counselors  Social Workers  and School Psychologists",="Certified",12.8,14.8,13.0,13.8,13.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.8,27.7,30.9,27.1,22.7
,="General Education - Teachers and Instructors",="Certified",159.1,160.9,162.4,163.3,159.1
,="Library/Media - Support Staff",="Non-Certified",3.6,3.5,3.2,3.5,3.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",110.4,109.3,108.7,111.5,101.8
,="School Nurses",="Non-Certified",7.0,7.0,7.0,7.0,7.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",44.9,44.0,45.8,43.0,40.3
,="Special Education - Teachers and Instructors",="Certified",25.0,26.0,25.0,25.0,25.0
,="Instructional Specialists Who Support Teachers",="Certified",10.0,9.0,7.4,7.4,9.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,3.0,3.0,3.0
,="Library/Media - Specialists (Certified)",="Certified",4.0,3.0,3.0,3.0,2.0
="Lisbon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,2.0,2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.4,1.8,1.8,1.8,1.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,0.0,0.0,0.3,0.8
,="General Education - Teachers and Instructors",="Certified",36.6,35.1,33.3,29.1,29.1
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",33.1,37.4,32.8,30.6,29.0
,="School Nurses",="Non-Certified",2.1,1.1,1.1,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,2.0,1.0,2.0,2.0
,="Special Education - Teachers and Instructors",="Certified",6.0,7.4,7.4,6.0,6.3
,="Instructional Specialists Who Support Teachers",="Certified",1.8,1.9,1.9,1.7,1.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.5,2.5,2.5,2.4,2.4
,="Library/Media - Specialists (Certified)",="Certified",.,.,.,.,1.0
="Litchfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.2,2.2,4.2,4.2,4.2
,="Counselors  Social Workers  and School Psychologists",="Certified",7.4,7.4,7.0,7.0,6.9
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,1.0,0.0,0.0,0.0
,="General Education - Teachers and Instructors",="Certified",85.9,84.9,87.0,85.2,79.2
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",54.1,51.4,47.4,48.4,40.8
,="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",21.0,22.0,22.0,22.0,23.0
,="Special Education - Teachers and Instructors",="Certified",8.0,9.0,9.0,10.0,10.0
,="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,3.0,2.0,3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,3.0,3.0,3.0
,="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
="Madison School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",18.6,18.6,18.6,18.4,16.8
,="Counselors  Social Workers  and School Psychologists",="Certified",17.2,17.2,18.4,16.5,19.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",49.1,45.6,41.4,42.8,41.8
,="General Education - Teachers and Instructors",="Certified",238.5,231.3,228.9,221.8,223.0
,="Library/Media - Support Staff",="Non-Certified",7.0,7.0,7.0,7.0,7.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",157.5,154.0,157.6,153.3,148.1
,="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",56.9,55.2,57.9,66.5,65.7
,="Special Education - Teachers and Instructors",="Certified",38.2,37.2,36.2,35.2,37.2
,="Instructional Specialists Who Support Teachers",="Certified",11.5,12.3,10.3,11.8,13.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,2.0,3.0,3.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",6.0,6.0,5.0,5.6,6.0
="Manchester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",24.8,25.8,24.2,26.2,28.6
,="Counselors  Social Workers  and School Psychologists",="Certified",45.1,47.4,46.0,51.2,49.1
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",55.3,52.6,58.5,81.8,81.4
,="General Education - Teachers and Instructors",="Certified",450.0,452.8,452.9,450.8,457.2
,="Library/Media - Support Staff",="Non-Certified",10.4,10.8,11.1,9.1,8.6
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",307.0,347.6,335.6,366.5,346.3
,="School Nurses",="Non-Certified",16.0,17.0,16.8,18.4,17.4
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",140.0,148.3,121.0,108.8,110.6
