"Student Counts by School and Race"
"All Districts, All Schools"
"Trend"

"",,,,"Race",,,,,,,,,,,,
"Hartland School District","=""0650011""","Hartland School","=""0650111""",8,11,38,25,"*",10,16,"*",0,24,1346,657,2142
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""","*","*",45,12,6,26,105,0,0,54,2268,1437,3960
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""","*","*",62,16,13,28,152,0,0,81,3459,1981,5795
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",0,0,6,2531,801,64,100,0,0,45,26,13,3586
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","*","*",278,194,145,86,308,0,0,208,1376,692,3303
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""","*",18,32,305,128,209,746,"*",0,116,405,192,2158
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",0,15,10,4228,1177,34,95,35,0,28,"*","*",5631
"Kent School District","=""0680011""","Kent Center School","=""0680111""",0,0,87,"*","*",59,152,0,0,107,1526,705,2657
"Kent School District","=""0680011""","LEAPSS","=""0680211""",0,0,0,0,0,0,0,0,0,0,"*",0,"*"
"Killingly School District","=""0690011""","Goodyear Early Childhood Center","=""0698011""",0,19,21,25,7,9,39,0,0,14,656,231,1021
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""",0,"*",0,"*",0,0,"*",0,0,"*",48,0,54
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""",23,35,84,69,55,50,137,0,0,118,2603,1259,4433
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",22,58,165,155,84,86,457,0,0,157,4848,2185,8217
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""",11,80,164,127,82,70,286,0,0,313,4360,2221,7714
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""",21,23,165,62,56,88,207,0,0,131,2712,1363,4828
"Killingly School District","=""0690011""","Sunrise Community School","=""0690411""",0,0,0,"*",0,0,"*",0,0,"*",40,0,47
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",0,0,"*",637,0,0,968,"*",0,53,692,0,2400
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""","*","*",10,90,6,40,387,0,"*",74,255,17,885
"Learn","=""2450014""","Goodwin College Early Childhood Interdistrict Magnet School","=""2450314""",0,"*",34,327,0,0,506,"*",0,71,364,0,1306
"Learn","=""2450014""","LEARN ABA Program at Center School","=""2451214""",0,0,"*","*",0,0,6,0,0,"*","*",0,15
"Learn","=""2450014""","LEARN Haynes Elementary Intensive Program","=""2451114""",0,0,"*",11,0,0,11,0,0,"*",8,0,38
"Learn","=""2450014""","LEARN High School ABA at MS","=""2450614""",0,0,"*",0,0,0,"*",0,0,"*",7,0,14
"Learn","=""2450014""","LEARN Kelly Middle School Intensive Program","=""2450914""",0,0,0,"*",0,0,"*",0,0,0,6,0,8
"Learn","=""2450014""","LEARN Ledyard RICHES Program","=""2450714""",0,0,0,"*",0,0,0,0,0,0,"*",0,8
"Learn","=""2450014""","LEARN SAILS Middle School Program","=""2450814""",0,0,0,"*",0,0,"*",0,0,"*",9,0,15
"Learn","=""2450014""","LEARN SAILS Program at Salem","=""2451014""",0,0,0,"*",0,0,"*",0,0,"*",7,0,20
"Learn","=""2450014""","LEARN STS 18-21 Year Old Program","=""2450414""",0,0,0,0,0,0,0,0,0,0,7,0,7
"Learn","=""2450014""","Learn ABA Program at Center School","=""2451214""",0,0,"*","*",0,0,6,0,0,"*","*",0,15
"Learn","=""2450014""","Learn Haynes Elementary Intensive Program","=""2451114""",0,0,"*",11,0,0,11,0,0,"*",8,0,38
"Learn","=""2450014""","Learn High School ABA at MS","=""2450614""",0,0,"*",0,0,0,"*",0,0,"*",7,0,14
"Learn","=""2450014""","Learn Ledyard RICHES Program","=""2450714""",0,0,0,"*",0,0,0,0,0,0,"*",0,8
"Learn","=""2450014""","Learn Pathways Program","=""2450514""",0,"*",0,0,0,0,"*",0,0,"*","*",0,9
"Learn","=""2450014""","Learn SAILS Middle School Program","=""2450814""",0,0,0,"*",0,0,"*",0,0,"*",9,0,15
"Learn","=""2450014""","Learn SAILS Program at Salem","=""2451014""",0,0,0,"*",0,0,"*",0,0,"*",7,0,20
"Learn","=""2450014""","Learn STS 18-21 Year Old Program","=""2450414""",0,0,0,0,0,0,0,0,0,0,7,0,7
"Learn","=""2450014""","Learn Special Education","=""2459014""","*","*",6,14,9,7,14,0,0,"*",82,78,215
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",0,"*",33,64,0,0,241,"*",0,132,858,0,1355
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""",26,"*",253,354,273,420,1194,"*",0,490,1521,771,5330
"Learn","=""2450014""","Riverside Magnet School at Goodwin College","=""2450314""",0,"*",34,327,0,0,506,"*",0,71,364,0,1306
"Learn","=""2450014""","The Friendship School","=""2450214""",28,22,228,402,263,390,1072,11,0,259,1652,732,5059
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",0,0,"*",41,0,0,52,0,0,"*",169,0,289
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""",23,42,85,66,27,47,157,"*",0,"*",2522,1406,4391
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""",15,39,45,26,23,35,99,11,0,10,2218,1160,3681
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","*",46,39,9,11,34,76,"*",0,"*",2739,1680,4642
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""",9,"*",89,58,39,31,128,"*",0,114,1153,539,2170
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""",58,217,157,155,84,99,282,7,0,139,1566,739,3503
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""","*",21,104,96,74,63,162,"*",0,78,1555,861,3036
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""",100,184,203,179,51,56,253,14,0,91,2020,970,4121
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",112,227,418,398,150,200,533,"*",0,"*",4794,2352,9244
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""",57,127,180,179,65,68,184,"*",0,"*",1889,1058,3849
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",0,"*",0,0,0,0,"*",0,0,0,71,27,104
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",16,11,113,25,33,39,163,11,0,213,2483,1522,4629
"Litchfield School District","=""0740011""","Center School","=""0740211""","*","*",66,10,6,48,95,25,0,17,1856,946,3072
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",12,"*",88,29,12,30,118,"*",0,17,2914,1680,4908
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""","*",0,48,16,"*",25,68,27,0,16,1511,755,2479
"Litchfield School District","=""0740011""","Litchfield Middle School","=""0746011""",0,0,"*","*",0,0,18,7,0,"*",301,0,335
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",9,14,449,89,48,35,205,11,0,153,7828,3489,12330
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""","*","*",201,14,12,24,90,0,0,91,3192,1671,5306
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""",7,"*",82,10,"*",23,83,"*",0,31,1774,885,2906
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""","*","*",125,8,16,29,102,0,0,100,2486,1687,4558
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""","*",8,155,"*","*",16,43,0,0,66,1472,899,2671
"Madison School District","=""0760011""","Town Campus Learning Center","=""0769011""","*","*",11,7,0,"*",24,0,0,"*",258,25,337
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""","*",8,215,23,17,17,104,"*",0,88,3585,1794,5859
"Manchester School District","=""0770011""","Nathan Hale School","=""0770911""","*","*",42,204,353,316,181,"*",0,6,114,211,1435
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""",0,"*","*",29,0,0,39,"*",0,"*",69,0,147
"Manchester School District","=""0770011""","Bowers School","=""0770111""",12,"*",190,465,260,254,762,"*",0,144,1363,736,4198
"Manchester School District","=""0770011""","Buckley School","=""0770311""","*",12,334,297,136,161,414,"*",0,127,1497,654,3636
"Manchester School District","=""0770011""","Elementary Site 2","=""0771111""",0,0,0,"*",0,0,0,0,0,0,"*",0,"*"
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""","*",16,233,644,216,220,742,"*",0,129,1165,423,3795
"Manchester School District","=""0770011""","Highland Park School","=""0770411""","*",15,124,296,130,95,294,"*",0,58,876,575,2468
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""","*",24,486,1293,631,593,1503,"*",0,253,2317,1351,8467
"Manchester School District","=""0770011""","Keeney School","=""0770611""","*","*",295,314,179,148,426,0,0,139,1350,800,3660
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",19,41,1090,2521,1240,1152,2642,7,0,305,5289,3372,17678
"Manchester School District","=""0770011""","Manchester Preschool - Site 2","=""0770811""",0,0,"*","*",0,0,"*",0,0,0,23,0,28
"Manchester School District","=""0770011""","Manchester Preschool Center","=""0778011""","*","*",125,331,60,79,408,0,0,54,396,62,1523
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""","*","*","*",154,99,54,164,0,0,10,230,123,840
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""",0,0,"*",26,0,0,18,0,0,"*",37,0,86
"Manchester School District","=""0770011""","Martin School","=""0771611""","*",0,180,316,100,89,428,0,0,"*",946,441,2539
"Manchester School District","=""0770011""","New Horizons","=""0770711""",0,0,"*",19,0,0,22,0,0,"*",26,0,69
"Manchester School District","=""0770011""","Robertson School","=""0771011""",12,25,874,844,362,276,564,"*","*",72,446,301,3781
"Manchester School District","=""0770011""","Verplanck School","=""0771211""",6,"*",408,787,321,352,1002,"*",0,66,445,263,3656
"Manchester School District","=""0770011""","Waddell School","=""0771311""","*","*",454,457,197,182,602,"*",0,146,908,506,3458
"Manchester School District","=""0770011""","Washington School","=""0771411""",9,"*",125,681,367,286,925,"*",0,171,555,325,3453
"Mansfield School District","=""0780011""","Annie E. Vinton School","=""0780411""","*","*",288,39,19,47,162,0,0,94,1331,652,2640
"Mansfield School District","=""0780011""","Dorothy C. Goodwin School","=""0780211""","*","*",346,18,14,47,123,"*",0,43,1042,436,2073
"Mansfield School District","=""0780011""","Mansfield Middle School School","=""0785111""",8,"*",489,80,60,100,393,"*",0,159,2891,1409,5595
"Mansfield School District","=""0780011""","Southeast Elementary School","=""0780511""","*","*",239,68,37,40,243,0,0,62,1195,568,2456
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""",0,"*",160,"*",37,70,229,0,0,127,3819,1811,6283
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""","*",35,210,396,257,826,2163,33,"*",100,1454,739,6220
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""","*",37,186,309,168,541,1312,"*",0,55,1107,589,4311
"Meriden School District","=""0800011""","Casimir Pulaski School","=""0801111""",0,10,221,548,359,1011,2268,22,0,125,1088,689,6341
"Meriden School District","=""0800011""","Community Classroom Collaborative-Meriden School District","=""0800211""",0,0,"*","*",0,0,12,0,0,"*",10,0,29
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""","*","*",285,1088,557,1446,3974,18,0,157,3021,1731,12295
"Meriden School District","=""0800011""","Hanover School","=""0800311""","*",26,143,267,96,587,1732,"*",0,79,1823,946,5714
"Meriden School District","=""0800011""","Israel Putnam School","=""0800411""","*",47,269,383,265,783,2034,13,"*",68,1249,617,5737
"Meriden School District","=""0800011""","John Barry School","=""0800511""","*",19,190,380,238,1012,2219,"*",0,66,601,323,5061
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""","*","*",123,505,289,938,2629,31,0,106,1795,1018,7453
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",7,0,206,1136,487,1408,3590,36,0,168,2528,1556,11122
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""","*",31,181,298,229,873,2148,"*",0,99,964,503,5342
"Meriden School District","=""0800011""","STARS-MS","=""0801511""",0,0,0,0,0,0,"*",0,0,0,"*",0,6
"Meriden School District","=""0800011""","STARS-Meriden School District","=""0800611""",0,0,0,"*",0,0,44,0,0,"*",30,0,81
"Meriden School District","=""0800011""","STEP-Meriden School District","=""0800911""",0,0,0,8,0,0,20,0,0,"*","*",0,38
"Meriden School District","=""0800011""","Steps-Meriden School District","=""0801211""",0,0,0,"*",0,0,19,0,0,"*",10,0,36
"Meriden School District","=""0800011""","Success Academy","=""0801411""",0,0,"*","*",0,0,23,0,0,"*",8,0,35
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""","*",35,239,113,47,679,1322,"*",0,42,1367,714,4575
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""",0,0,"*",18,0,0,45,0,0,"*",13,0,82
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""",8,14,195,712,450,1159,2542,30,0,96,1809,984,7999
"Middletown School District","=""0830011""","Bielefield School","=""0830211""","*",0,107,500,282,127,531,"*",0,157,959,535,3202
"Middletown School District","=""0830011""","DEAL Program","=""0839011""",0,0,0,0,28,11,0,0,0,0,0,26,65
"Middletown School District","=""0830011""","Evening Program - MHS","=""0831611""",0,0,0,10,0,0,"*",0,0,"*",26,0,45
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""","*","*",122,504,182,135,564,0,0,160,1152,552,3378
"Middletown School District","=""0830011""","ICM - Farm Hill","=""0830611""",0,0,0,9,0,0,"*",0,0,"*",0,0,12
"Middletown School District","=""0830011""","ICM - Lawrence","=""0830711""",0,0,0,"*",0,0,"*",0,0,"*",8,0,12
"Middletown School District","=""0830011""","ICM - Macdonough","=""0831011""",0,0,0,"*",0,0,"*",0,0,"*","*",0,10
"Middletown School District","=""0830011""","ICM - Spencer","=""0832011""",0,0,0,"*",0,0,"*",0,0,"*","*",0,14
"Middletown School District","=""0830011""","ICM - Wesley","=""0830811""",0,0,0,"*",0,0,"*",0,0,0,8,0,14
"Middletown School District","=""0830011""","ICM- Woodrow Wilson Middle School","=""0830411""",0,0,"*","*",0,0,"*",0,0,0,10,0,15
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""","*","*",132,466,289,166,369,0,0,106,1306,598,3441
"Middletown School District","=""0830011""","Lawrence School","=""0831311""","*","*",462,365,201,104,272,0,0,179,1071,482,3142
"Middletown School District","=""0830011""","MHS - Alternative Education Program 1","=""0831811""",0,0,0,9,0,0,8,0,0,"*","*",0,23
"Middletown School District","=""0830011""","MHS - Alternative Education Program 2","=""0831911""",0,0,0,10,0,0,8,0,0,"*","*",0,25
"Middletown School District","=""0830011""","MHS- Alternative Education Program 3","=""0832211""",0,0,0,0,0,0,0,0,0,0,"*",0,"*"
"Middletown School District","=""0830011""","MacDonough School","=""0830911""","*","*",38,454,275,156,540,0,0,139,452,204,2265
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",18,29,611,2052,1054,414,1185,6,0,227,4942,2329,12867
"Middletown School District","=""0830011""","Moody School","=""0831211""",8,14,156,226,226,197,181,0,0,111,1421,782,3322
"Middletown School District","=""0830011""","OASIS","=""0830311""",0,0,0,"*",0,0,"*",0,0,"*","*",0,10
"Middletown School District","=""0830011""","STEM - Macdonough","=""0832111""",0,0,"*","*",0,0,9,0,0,"*",26,0,44
"Middletown School District","=""0830011""","Snow School","=""0831111""",0,0,265,559,275,"*",474,"*",0,165,1304,564,3742
"Middletown School District","=""0830011""","Spencer School","=""0830111""","*","*",169,361,231,144,366,"*",0,107,1268,682,3337
