"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"Trend"

"",,,,"Free/Reduced Lunch Eligibility",,,
"Wethersfield School District","=""1590011""","Wethersfield Transition Academy","=""1590111""","*",12,"*",15
"Willington School District","=""1600011""","Center School","=""1600111""",310,1876,57,2243
"Willington School District","=""1600011""","Hall Memorial School","=""1605111""",301,2282,108,2691
"Wilton School District","=""1610011""","Middlebrook School","=""1615211""",103,10216,20,10339
"Wilton School District","=""1610011""","Cider Mill School","=""1610711""",96,9909,25,10030
"Wilton School District","=""1610011""","Ina E. Driscoll School","=""1610611""",8,1514,0,1522
"Wilton School District","=""1610011""","Miller-Driscoll School","=""1610511""",42,7715,12,7769
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",211,12805,41,13057
"Wilton School District","=""1610011""","Wilton-Westport Evening School","=""1610111""",0,10,0,10
"Winchester School District","=""1620011""","ABLE","=""1629011""","*","*",0,7
"Winchester School District","=""1620011""","Batcheller - Bridges 1","=""1629211""","*","*",0,"*"
"Winchester School District","=""1620011""","Batcheller Early Education Center","=""1620411""",696,1203,135,2034
"Winchester School District","=""1620011""","Bridges 2","=""1629111""",0,"*","*","*"
"Winchester School District","=""1620011""","Joy D. Rice School","=""1626111""","*","*",0,11
"Winchester School District","=""1620011""","Mary P. Hinsdale School","=""1620211""",990,1501,282,2773
"Winchester School District","=""1620011""","Pearson Academy","=""1620511""",87,118,22,227
"Winchester School District","=""1620011""","Pearson Middle School","=""1625111""",955,1293,297,2545
"Winchester School District","=""1620011""","WISE Academy","=""1620111""",6,21,0,27
"Windham School District","=""1630011""","Assisted Work Program","=""1631211""",7,"*","*",9
"Windham School District","=""1630011""","Charles H. Barrows STEM Academy","=""1630411""",852,872,115,1839
"Windham School District","=""1630011""","Early Headstart","=""1638011""",261,69,17,347
"Windham School District","=""1630011""","Early Headstart-Commerce Dr.","=""1638011""",261,69,17,347
"Windham School District","=""1630011""","Eastern Regional Academy/Windham","=""1639011""",100,21,12,133
"Windham School District","=""1630011""","Natchaug School","=""1630111""",2412,387,249,3048
"Windham School District","=""1630011""","North Windham ASD Program","=""1630811""","*","*",0,10
"Windham School District","=""1630011""","North Windham School","=""1630311""",3065,1051,440,4556
"Windham School District","=""1630011""","Partial Day Program","=""1638411""",10,"*","*",16
"Windham School District","=""1630011""","Sweeney ASD Program","=""1631111""",6,0,0,6
"Windham School District","=""1630011""","Sweeney Medically Fragile Program","=""1630911""","*","*",0,6
"Windham School District","=""1630011""","W. B. Sweeney School","=""1630611""",2439,492,247,3178
"Windham School District","=""1630011""","Windham Center School","=""1630511""",2057,718,156,2931
"Windham School District","=""1630011""","Windham Early Childhood Prospect Street","=""1638311""",1535,393,111,2039
"Windham School District","=""1630011""","Windham Early Childhood Tuckie Road","=""1631011""",66,17,12,95
"Windham School District","=""1630011""","Windham High School","=""1636111""",4226,2430,608,7264
"Windham School District","=""1630011""","Windham Middle School","=""1635111""",5554,1620,715,7889
"Windsor Locks School District","=""1650011""","North Street School","=""1650111""",1164,2886,275,4325
"Windsor Locks School District","=""1650011""","Pine Meadow Academy","=""1650611""","*",49,"*",94
"Windsor Locks School District","=""1650011""","RISE Transition Academy","=""1650211""",14,8,0,22
"Windsor Locks School District","=""1650011""","South Elementary School","=""1650411""",1110,2387,333,3830
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",1084,3694,397,5175
"Windsor Locks School District","=""1650011""","Windsor Locks Middle School","=""1655111""",1020,2471,333,3824
"Windsor School District","=""1640011""","Clover Street School","=""1640111""",782,1756,227,2765
"Windsor School District","=""1640011""","Community Based Transition Academy","=""1640211""","*",14,"*",26
"Windsor School District","=""1640011""","Expulsion","=""1640411""","*","*",0,8
"Windsor School District","=""1640011""","John F. Kennedy School","=""1640811""",935,2497,342,3774
"Windsor School District","=""1640011""","Oliver Ellsworth School","=""1640911""",938,2903,310,4151
"Windsor School District","=""1640011""","Plato Credit Recovery","=""1640611""","*",0,0,"*"
"Windsor School District","=""1640011""","Poquonock Elementary School","=""1640511""",675,2038,144,2857
"Windsor School District","=""1640011""","Roger Wolcott Early Child Center","=""1641011""",181,978,61,1220
"Windsor School District","=""1640011""","Sage Park Middle School","=""1645311""",1900,5154,727,7781
"Windsor School District","=""1640011""","Spark","=""1640311""",22,7,0,29
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",2607,8828,1023,12458
"Wolcott School District","=""1660011""","ABC Classroom","=""1660311""","*","*",0,12
"Wolcott School District","=""1660011""","Alcott School","=""1660611""",333,2784,161,3278
"Wolcott School District","=""1660011""","Frisbie School","=""1660211""",494,2793,267,3554
"Wolcott School District","=""1660011""","Phoenix Program","=""1660411""",7,"*","*",11
"Wolcott School District","=""1660011""","Tyrrell Middle School","=""1665111""",881,5378,412,6671
"Wolcott School District","=""1660011""","Wakelee School","=""1660511""",500,3200,229,3929
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",1080,6829,579,8488
"Woodbridge School District","=""1670011""","Beecher Road Intermediate School","=""1670211""",60,2110,18,2188
"Woodbridge School District","=""1670011""","Beecher Road Primary School","=""1670111""",44,1484,18,1546
"Woodbridge School District","=""1670011""","Beecher Road School","=""1670311""",180,3604,69,3853
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",11,10481,379,10871
"Woodstock School District","=""1690011""","Woodstock Elementary School","=""1690211""",394,4234,167,4795
"Woodstock School District","=""1690011""","Woodstock Middle School","=""1695111""",375,3613,174,4162

