"Student Counts by School and Year"
"All Districts, All Schools"
"Trend"

"",,,,"Year",,,,,,,,,,
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""",64,59,35,32,32,40,43,0,0,0,305
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","=""0649111""",55,62,75,0,0,0,0,0,0,0,192
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",0,0,197,256,321,373,343,256,233,236,2215
"Hartford School District","=""0640011""","High School, Inc.","=""0647611""",0,0,197,256,321,373,343,256,233,236,2215
"Hartford School District","=""0640011""","High Step Transition","=""0648411""",0,0,0,0,0,0,0,10,16,17,43
"Hartford School District","=""0640011""","IB Global Communications Academy","=""0643611""",0,208,376,372,417,420,492,621,661,617,4184
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",0,0,165,229,317,195,201,190,207,190,1694
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",809,799,795,781,799,703,658,621,571,557,7093
"Hartford School District","=""0640011""","Kinsella Magnet School of Performing Arts","=""0641111""",517,569,618,662,690,760,819,884,910,913,7342
"Hartford School District","=""0640011""","LC - Breakthrough II","=""0649511""",0,0,0,0,0,0,0,0,"*","*",10
"Hartford School District","=""0640011""","LC - Breakthrough II School","=""0649511""",0,0,0,0,0,0,0,0,"*","*",10
"Hartford School District","=""0640011""","LC - Burns","=""0649611""",0,0,0,0,0,0,0,0,"*","*",11
"Hartford School District","=""0640011""","LC - Burns School","=""0649611""",0,0,0,0,0,0,0,0,"*","*",11
"Hartford School District","=""0640011""","LC - Moylan","=""0649811""",0,0,0,0,0,0,0,0,"*","*",10
"Hartford School District","=""0640011""","LC - Moylan School","=""0649811""",0,0,0,0,0,0,0,0,"*","*",10
"Hartford School District","=""0640011""","Little Owls Learning Center","=""0648011""",12,17,0,0,0,0,0,0,0,0,29
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""",824,783,801,846,479,533,569,602,621,647,6705
"Hartford School District","=""0640011""","M. D. Fox School","=""0640811""",824,783,801,846,479,533,569,602,621,647,6705
"Hartford School District","=""0640011""","M. L. King School","=""0641611""",600,522,512,468,401,382,316,329,356,294,4180
"Hartford School District","=""0640011""","M. L. King, Jr. School","=""0641611""",600,522,512,468,401,382,316,329,356,294,4180
"Hartford School District","=""0640011""","MDP - Batchelder School","=""0644811""",0,0,0,0,0,0,0,12,17,19,48
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""",0,0,0,0,0,0,0,21,17,24,62
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""",0,0,0,0,0,0,0,23,27,48,98
"Hartford School District","=""0640011""","MDP - Moylan School","=""0648511""",0,0,0,0,0,0,0,"*",11,"*",22
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""",440,396,358,419,451,385,291,252,239,261,3492
"Hartford School District","=""0640011""","McDonough Middle School","=""0641211""",440,396,358,419,451,385,291,252,239,261,3492
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""",360,417,400,412,422,373,376,330,334,292,3716
"Hartford School District","=""0640011""","Milner School","=""0641911""",360,417,400,412,422,373,376,330,334,292,3716
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""",0,101,149,198,240,279,291,323,340,336,2257
"Hartford School District","=""0640011""","Montessori Magnet at Fisher School","=""0643711""",0,101,149,198,240,279,291,323,340,336,2257
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""",0,0,0,0,0,0,158,212,259,304,933
"Hartford School District","=""0640011""","Naylor/CCSU Leadership Academy","=""0641411""",564,608,702,699,704,723,660,682,660,636,6638
"Hartford School District","=""0640011""","New Visions Program","=""0642711""",0,0,0,0,0,0,0,51,0,0,51
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""",620,610,619,592,582,626,675,678,660,633,6295
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",0,0,90,123,116,110,99,127,0,0,665
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""",596,578,514,515,531,564,543,532,537,534,5444
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",350,391,351,355,327,329,330,375,419,421,3648
"Hartford School District","=""0640011""","Quirk Middle School","=""0645211""",575,568,243,0,0,0,0,0,0,0,1386
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""",517,569,618,662,690,760,819,884,910,913,7342
"Hartford School District","=""0640011""","Rawson School","=""0641711""",586,755,734,463,452,572,498,484,373,383,5300
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""",0,0,0,57,105,121,128,83,99,131,724
"Hartford School District","=""0640011""","Renzulli Gifted and Talented Academy","=""0644011""",0,0,0,57,105,121,128,83,99,131,724
"Hartford School District","=""0640011""","SAND School","=""0640111""",366,442,413,463,471,484,459,402,394,362,4256
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""",560,376,253,328,344,356,359,360,367,366,3669
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""",0,0,0,0,0,87,173,253,309,375,1197
"Hartford School District","=""0640011""","STEM Magnet at Fisher School","=""0642511""",560,376,253,328,344,356,359,360,367,366,3669
"Hartford School District","=""0640011""","Sanchez School","=""0643011""",580,528,493,492,469,494,492,485,480,396,4909
"Hartford School District","=""0640011""","Sarah J Rawson Middle Grades Academy","=""0645611""",0,0,0,188,202,0,0,0,0,0,390
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""",586,755,734,463,452,572,498,484,373,383,5300
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""",366,347,437,361,347,326,297,295,293,314,3383
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",395,578,602,672,637,692,705,702,707,709,6399
"Hartford School District","=""0640011""","Twain School","=""0641811""",282,0,0,0,0,0,0,0,0,0,282
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",342,346,362,407,389,403,408,423,431,431,3942
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",342,346,362,407,389,403,408,423,431,431,3942
"Hartford School District","=""0640011""","Weaver High School","=""0646311""",1259,871,335,154,0,0,0,0,0,0,2619
"Hartford School District","=""0640011""","Webster Micro Society Magnet School","=""0642011""",620,610,619,592,582,626,675,678,660,633,6295
"Hartford School District","=""0640011""","West Middle School","=""0642111""",768,670,698,688,657,635,498,380,359,449,5802
"Hartford School District","=""0640011""","Wish Museum School","=""0642211""",437,424,426,443,392,392,354,303,304,429,3904
"Hartland School District","=""0650011""","Hartland School","=""0650111""",235,238,227,222,225,214,204,201,187,189,2142
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""",507,489,504,470,400,352,344,294,294,306,3960
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""",697,683,668,666,648,584,523,491,436,399,5795
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",277,300,303,300,337,341,361,403,462,502,3586
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",330,330,330,331,330,330,330,331,331,330,3303
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""",181,182,182,182,191,191,246,262,271,270,2158
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",369,412,434,432,488,589,704,716,734,753,5631
"Kent School District","=""0680011""","Kent Center School","=""0680111""",257,284,282,287,278,271,272,254,237,235,2657
"Kent School District","=""0680011""","LEAPSS","=""0680211""",0,0,0,0,0,0,0,"*",0,0,"*"
"Killingly School District","=""0690011""","Goodyear Early Childhood Center","=""0698011""",71,83,98,107,100,87,101,111,130,133,1021
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""",0,0,0,0,0,0,0,21,16,17,54
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""",455,465,502,498,493,465,427,382,377,369,4433
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",836,794,789,788,822,893,855,792,825,823,8217
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""",819,832,790,823,812,791,761,715,688,683,7714
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""",531,531,502,469,449,436,450,483,484,493,4828
"Killingly School District","=""0690011""","Sunrise Community School","=""0690411""",0,0,0,0,0,0,47,0,0,0,47
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",0,0,0,146,246,321,392,407,434,454,2400
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""",0,0,67,82,82,106,118,138,145,147,885
"Learn","=""2450014""","Goodwin College Early Childhood Interdistrict Magnet School","=""2450314""",0,0,0,0,0,0,235,307,370,394,1306
"Learn","=""2450014""","LEARN ABA Program at Center School","=""2451214""",0,0,0,0,0,0,0,"*","*",8,15
"Learn","=""2450014""","LEARN Haynes Elementary Intensive Program","=""2451114""",0,0,0,0,0,0,0,10,12,16,38
"Learn","=""2450014""","LEARN High School ABA at MS","=""2450614""",0,0,0,0,0,0,0,"*","*","*",14
"Learn","=""2450014""","LEARN Kelly Middle School Intensive Program","=""2450914""",0,0,0,0,0,0,0,"*","*",0,8
"Learn","=""2450014""","LEARN Ledyard RICHES Program","=""2450714""",0,0,0,0,0,0,0,"*","*","*",8
"Learn","=""2450014""","LEARN SAILS Middle School Program","=""2450814""",0,0,0,0,0,0,0,6,"*","*",15
"Learn","=""2450014""","LEARN SAILS Program at Salem","=""2451014""",0,0,0,0,0,0,0,6,8,6,20
"Learn","=""2450014""","LEARN STS 18-21 Year Old Program","=""2450414""",0,0,0,0,0,0,0,"*","*","*",7
"Learn","=""2450014""","Learn ABA Program at Center School","=""2451214""",0,0,0,0,0,0,0,"*","*",8,15
"Learn","=""2450014""","Learn Haynes Elementary Intensive Program","=""2451114""",0,0,0,0,0,0,0,10,12,16,38
"Learn","=""2450014""","Learn High School ABA at MS","=""2450614""",0,0,0,0,0,0,0,"*","*","*",14
"Learn","=""2450014""","Learn Ledyard RICHES Program","=""2450714""",0,0,0,0,0,0,0,"*","*","*",8
"Learn","=""2450014""","Learn Pathways Program","=""2450514""",0,0,0,0,0,0,0,"*","*","*",9
"Learn","=""2450014""","Learn SAILS Middle School Program","=""2450814""",0,0,0,0,0,0,0,6,"*","*",15
"Learn","=""2450014""","Learn SAILS Program at Salem","=""2451014""",0,0,0,0,0,0,0,6,8,6,20
"Learn","=""2450014""","Learn STS 18-21 Year Old Program","=""2450414""",0,0,0,0,0,0,0,"*","*","*",7
"Learn","=""2450014""","Learn Special Education","=""2459014""",35,29,33,30,28,28,32,0,0,0,215
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",0,0,0,0,110,178,253,272,271,271,1355
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""",528,509,524,545,539,549,533,533,535,535,5330
"Learn","=""2450014""","Riverside Magnet School at Goodwin College","=""2450314""",0,0,0,0,0,0,235,307,370,394,1306
"Learn","=""2450014""","The Friendship School","=""2450214""",514,499,497,492,509,513,513,512,505,505,5059
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",0,0,0,0,0,33,61,61,67,67,289
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""",512,521,494,484,452,438,392,378,368,352,4391
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""",423,413,404,398,386,368,358,336,300,295,3681
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",587,599,549,521,445,423,396,381,377,364,4642
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""",230,208,219,207,224,225,225,193,224,215,2170
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""",364,345,348,345,352,355,360,362,337,335,3503
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""",385,351,315,285,270,284,274,294,294,284,3036
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""",423,404,405,416,413,418,418,415,407,402,4121
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",1059,977,926,928,934,961,933,896,833,797,9244
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""",420,455,448,436,390,348,347,350,323,332,3849
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",0,"*",22,32,24,"*",0,0,0,0,104
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",575,557,545,502,453,422,396,398,388,393,4629
"Litchfield School District","=""0740011""","Center School","=""0740211""",337,348,344,341,316,280,268,272,270,296,3072
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",624,578,568,560,543,498,472,477,296,292,4908
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""",250,276,289,268,263,251,245,229,220,188,2479
"Litchfield School District","=""0740011""","Litchfield Middle School","=""0746011""",0,0,0,0,0,0,0,0,175,160,335
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",1237,1230,1264,1290,1257,1255,1251,1229,1164,1153,12330
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""",600,593,587,588,541,533,546,488,416,414,5306
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""",307,323,317,302,285,266,296,273,268,269,2906
