"Chronic Absenteeism, Trend"
", All Schools, English Learner Status"

"",,,,,"% Chronically Absent",,,,
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Male",17.0,16.8,19.2,11.8,16.7
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Non-ELL",14.6,16.2,18.2,12.5,15.8
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Non-Special Education",13.5,15.5,15.6,12.1,14.5
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","School",14.6,16.1,18.2,12.8,16.2
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Special Education",22.0,20.2,31.0,16.3,24.3
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Two or More Races","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Not Eligible For Lunch",9.9,11.6,8.4,7.0,7.7
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","White",13.5,16.9,15.5,11.2,12.0
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Eligible For Reduced Lunch",18.5,17.7,17.6,12.7,17.9
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Black or African American","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Female","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Hispanic/Latino of any race","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Male","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Non-ELL","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","School","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Special Education","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Two or More Races","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","White","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Grade 12","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Kindergarten","*","*","*",19.4,19.5
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","American Indian or Alaska Native","*","*","*","N/A","N/A"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Asian","*","*","*","*","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Black or African American",8.8,7.1,17.9,13.2,13.0
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","ELL","*","*","*","*","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Eligible For Free Lunch",12.2,10.1,16.9,18.1,13.5
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Female",6.4,"*",6.8,13.7,11.8
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Grade   1",11.3,"*",14.3,13.3,21.6
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Grade   2",15.0,0.0,14.5,"*",0.0
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Grade   3","*","*","*","*","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Grade   4",0.0,"*",13.3,14.3,"*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Grade   5","*","*","*",14.6,"*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Grade   6","*","*","*","*","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Hispanic/Latino of any race",10.3,7.2,6.2,15.6,9.3
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Male",10.3,10.3,14.8,12.4,8.6
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Non-ELL",8.1,7.9,12.2,13.3,9.3
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Non-Special Education",8.7,7.0,11.6,11.4,9.8
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","School",8.7,8.0,11.5,13.0,10.0
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Special Education","*","*","*",23.7,"*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Two or More Races","*","*","*","*","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Not Eligible For Lunch","*","*","*",7.4,5.9
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","White","*","*","*","*","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Kindergarten",21.6,"*",18.4,18.5,"*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Asian","*","*","*","*","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Black or African American",16.4,17.2,8.5,15.6,14.5
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","ELL","*","*","*","*","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Eligible For Free Lunch",21.6,20.1,13.6,21.6,20.1
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Female",11.4,12.9,8.4,11.9,10.6
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Grade   1","*",20.0,"*","*",21.3
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Grade   2",15.0,"*",13.3,"*","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Grade   3",18.4,"*","*",13.6,"*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Grade   4","*","*",14.0,"*",12.8
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Grade   5",15.1,19.6,"*",14.3,"*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Grade   6",13.0,21.4,23.3,24.3,21.1
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Hispanic/Latino of any race",13.5,13.8,17.5,16.5,20.2
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Male",16.3,15.1,15.6,14.9,14.6
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Non-ELL",15.4,14.3,12.2,13.1,12.4
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Non-Special Education",12.9,12.4,11.4,11.7,10.0
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","School",14.2,14.1,12.5,13.5,12.7
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Special Education",23.7,25.6,21.9,23.1,26.4
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Two or More Races","*","*","*","*","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Not Eligible For Lunch",6.4,9.8,10.7,5.7,4.7
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","White",13.3,14.5,13.9,10.7,"*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Eligible For Reduced Lunch","*",0.0,"*","*","*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Kindergarten",20.4,19.6,16.3,24.4,"*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","American Indian or Alaska Native","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Asian",14.3,12.5,14.9,10.5,10.7
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Black or African American","*",9.2,14.0,11.9,15.2
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","ELL","*",31.8,"*",13.7,15.7
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Eligible For Free Lunch",12.2,19.2,19.9,13.8,14.8
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Female",15.0,13.4,16.1,11.3,11.7
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Grade   1","*",12.5,16.3,15.9,"*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Grade   2",13.7,"*",17.0,"*",22.0
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Grade   3","*","*",13.5,"*","*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Grade   4","*",20.9,"*","*",18.8
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Grade   5","*","*","*","*","*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Grade   6","*",15.9,20.8,15.2,"*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Hispanic/Latino of any race",13.7,17.4,24.4,14.6,"*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Male",7.2,13.1,13.7,11.3,9.9
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Non-ELL",11.0,10.5,14.8,10.8,9.8
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Non-Special Education",10.8,12.8,15.8,11.0,9.9
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","School",10.9,13.2,14.8,11.3,10.7
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Special Education","*",16.3,"*","*",15.6
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Two or More Races","*","*","*","*","*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Not Eligible For Lunch",9.0,7.6,10.3,8.9,"*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","White",15.0,15.1,10.3,9.5,"*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Eligible For Reduced Lunch","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Kindergarten",10.8,8.8,"*","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Asian","*","*","*","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Black or African American",13.2,14.1,18.3,12.0,19.0
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","ELL","*","*","*","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Eligible For Free Lunch",14.9,18.4,15.2,14.6,17.2
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Female",5.7,3.8,4.1,4.6,7.3
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Grade   1",8.8,"*","*","*",9.4
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Grade   2",9.8,"*","*","*",10.8
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Grade   3",0.0,11.3,"*","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Grade   4","*","*",11.3,"*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Grade   5","*","*","*","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Grade   6","*","*",0.0,"*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Hispanic/Latino of any race","*","*","*","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Male",7.4,9.5,8.2,6.3,7.2
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Native Hawaiian or Other Pacific Islander","N/A","N/A","*","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Non-ELL",6.0,6.8,6.2,5.4,7.2
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Non-Special Education",6.6,6.5,5.3,5.0,6.8
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","School",6.6,6.7,6.1,5.5,7.2
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Special Education","*","*",14.3,"*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Two or More Races",0.0,"*","*","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Not Eligible For Lunch",4.4,4.4,3.4,2.9,4.6
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","White",4.9,4.9,2.8,3.2,3.8
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Kindergarten","*","*",10.6,"*","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","American Indian or Alaska Native","*","*","*","*","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Asian",12.7,10.0,"*",8.1,0.0
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Black or African American","*","*","*","*","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","ELL","*","*","*","*","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Eligible For Free Lunch",13.0,15.6,16.7,"*","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Female",4.6,7.1,5.7,3.7,"*"
