"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, Grade"

"Organization","School","School Code","Grade","% Chronically Absent"
"Ellington School District","Ellington High School","=""0486111""","Grade 11",4.9
"Ellington School District","Ellington High School","=""0486111""","Grade 12",6.0
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Kindergarten","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Grade   1",10.6
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Grade   2","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Grade   3","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Grade   4","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Grade   5","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Grade   6","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Grade   7","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Grade   8","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Grade   9","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Grade 10","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Grade 11","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Grade 12","*"
"Elm City Montessori School District","Elm City Montessori School","=""2910113""","Kindergarten","*"
"Elm City Montessori School District","Elm City Montessori School","=""2910113""","Grade   1","*"
"Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Kindergarten","*"
"Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Grade   1","*"
"Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Grade   2","*"
"Enfield School District","Enfield Street School","=""0490211""","Kindergarten","*"
"Enfield School District","Enfield Street School","=""0490211""","Grade   1","*"
"Enfield School District","Enfield Street School","=""0490211""","Grade   2",7.6
"Enfield School District","Hazardville Memorial School","=""0490411""","Kindergarten",15.3
"Enfield School District","Hazardville Memorial School","=""0490411""","Grade   1","*"
"Enfield School District","Hazardville Memorial School","=""0490411""","Grade   2","*"
"Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Kindergarten","*"
"Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Grade   2","*"
"Enfield School District","Henry Barnard School","=""0491811""","Kindergarten",15.3
"Enfield School District","Henry Barnard School","=""0491811""","Grade   1",10.5
"Enfield School District","Henry Barnard School","=""0491811""","Grade   2",9.9
"Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Kindergarten","*"
"Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Grade   1","*"
"Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Grade   2","*"
"Enfield School District","Nathan Hale School","=""0491111""","Kindergarten",13.3
"Enfield School District","Nathan Hale School","=""0491111""","Grade   1",0.0
"Enfield School District","Nathan Hale School","=""0491111""","Grade   2",8.5
"Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Grade   3","*"
"Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Grade   4","*"
"Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Grade   5","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Grade   3","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Grade   4","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Grade   5",7.9
"Enfield School District","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","Grade   3","*"
"Enfield School District","Eli Whitney School","=""0491611""","Grade   3",8.1
"Enfield School District","Eli Whitney School","=""0491611""","Grade   4",6.4
"Enfield School District","Eli Whitney School","=""0491611""","Grade   5",5.0
"Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Grade   3","*"
"Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Grade   4","*"
"Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Grade   5","*"
"Enfield School District","Prudence Crandall School","=""0491511""","Grade   3",6.1
"Enfield School District","Prudence Crandall School","=""0491511""","Grade   4",4.7
"Enfield School District","Prudence Crandall School","=""0491511""","Grade   5",8.3
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Grade   6",11.8
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Grade   7",13.2
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Grade   8",19.2
"Enfield School District","Enfield High School","=""0496111""","Grade   9",17.0
"Enfield School District","Enfield High School","=""0496111""","Grade 10",17.3
"Enfield School District","Enfield High School","=""0496111""","Grade 11",18.1
"Enfield School District","Enfield High School","=""0496111""","Grade 12",16.6
"Enfield School District","Enrico Fermi High School","=""0496211""","Grade   9",11.8
"Enfield School District","Enrico Fermi High School","=""0496211""","Grade 10",4.1
"Enfield School District","Enrico Fermi High School","=""0496211""","Grade 11",19.3
"Enfield School District","Enrico Fermi High School","=""0496211""","Grade 12",20.4
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","Grade 11","*"
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","Grade 12","*"
"Essex School District","Essex Elementary School","=""0500111""","Kindergarten","*"
"Essex School District","Essex Elementary School","=""0500111""","Grade   1","*"
"Essex School District","Essex Elementary School","=""0500111""","Grade   2","*"
"Essex School District","Essex Elementary School","=""0500111""","Grade   3","*"
"Essex School District","Essex Elementary School","=""0500111""","Grade   4",0.0
"Essex School District","Essex Elementary School","=""0500111""","Grade   5",0.0
"Essex School District","Essex Elementary School","=""0500111""","Grade   6","*"
"Explorations District","Explorations","=""2726113""","Grade   9",31.8
"Explorations District","Explorations","=""2726113""","Grade 10","*"
"Explorations District","Explorations","=""2726113""","Grade 11","*"
"Explorations District","Explorations","=""2726113""","Grade 12","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Kindergarten","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Grade   1","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Grade   2","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Grade   3","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Grade   4","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Grade   5","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Kindergarten","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Grade   1",0.0
"Fairfield School District","Dwight Elementary School","=""0510111""","Grade   2",0.0
"Fairfield School District","Dwight Elementary School","=""0510111""","Grade   3","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Grade   4","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Grade   5","*"
"Fairfield School District","Holland Hill School","=""0510411""","Kindergarten","*"
"Fairfield School District","Holland Hill School","=""0510411""","Grade   1",9.0
"Fairfield School District","Holland Hill School","=""0510411""","Grade   2","*"
"Fairfield School District","Holland Hill School","=""0510411""","Grade   3","*"
"Fairfield School District","Holland Hill School","=""0510411""","Grade   4","*"
"Fairfield School District","Holland Hill School","=""0510411""","Grade   5",0.0
"Fairfield School District","Jennings School","=""0511711""","Kindergarten",0.0
"Fairfield School District","Jennings School","=""0511711""","Grade   1",0.0
"Fairfield School District","Jennings School","=""0511711""","Grade   2","*"
"Fairfield School District","Jennings School","=""0511711""","Grade   3","*"
"Fairfield School District","Jennings School","=""0511711""","Grade   4","*"
"Fairfield School District","Jennings School","=""0511711""","Grade   5",0.0
"Fairfield School District","McKinley School","=""0510611""","Kindergarten","*"
"Fairfield School District","McKinley School","=""0510611""","Grade   1","*"
"Fairfield School District","McKinley School","=""0510611""","Grade   2",0.0
"Fairfield School District","McKinley School","=""0510611""","Grade   3",0.0
"Fairfield School District","McKinley School","=""0510611""","Grade   4","*"
"Fairfield School District","McKinley School","=""0510611""","Grade   5","*"
"Fairfield School District","Mill Hill School","=""0510711""","Kindergarten",0.0
"Fairfield School District","Mill Hill School","=""0510711""","Grade   1",0.0
"Fairfield School District","Mill Hill School","=""0510711""","Grade   2","*"
"Fairfield School District","Mill Hill School","=""0510711""","Grade   3",0.0
