"Chronic Absenteeism, 2013-14"
"State of Connecticut, All Schools, Race/Ethnicity"

"Organization","School","School Code","Race/Ethnicity","% Chronically Absent"
"Enfield School District","Nathan Hale School","=""0491111""","Two or More Races","*"
"Enfield School District","Nathan Hale School","=""0491111""","White",8.6
"Essex School District","Essex Elementary School","=""0500111""","Asian","*"
"Essex School District","Essex Elementary School","=""0500111""","Black or African American","*"
"Essex School District","Essex Elementary School","=""0500111""","Hispanic/Latino of any race","*"
"Essex School District","Essex Elementary School","=""0500111""","Two or More Races","*"
"Essex School District","Essex Elementary School","=""0500111""","White",1.8
"Explorations District","Explorations","=""2726113""","American Indian or Alaska Native","*"
"Explorations District","Explorations","=""2726113""","Asian","*"
"Explorations District","Explorations","=""2726113""","Black or African American","*"
"Explorations District","Explorations","=""2726113""","Hispanic/Latino of any race","*"
"Explorations District","Explorations","=""2726113""","Two or More Races","*"
"Explorations District","Explorations","=""2726113""","White",29.2
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","American Indian or Alaska Native","*"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Asian",0.0
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Black or African American","*"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Hispanic/Latino of any race","*"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Native Hawaiian or Other Pacific Islander","*"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Two or More Races",0.0
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","White",4.0
"Fairfield School District","Fairfield Warde High School","=""0516211""","American Indian or Alaska Native","*"
"Fairfield School District","Fairfield Warde High School","=""0516211""","Asian","*"
"Fairfield School District","Fairfield Warde High School","=""0516211""","Black or African American","*"
"Fairfield School District","Fairfield Warde High School","=""0516211""","Hispanic/Latino of any race",6.6
"Fairfield School District","Fairfield Warde High School","=""0516211""","Two or More Races","*"
"Fairfield School District","Fairfield Warde High School","=""0516211""","White",2.8
"Fairfield School District","Osborn Hill School","=""0511811""","American Indian or Alaska Native","*"
"Fairfield School District","Osborn Hill School","=""0511811""","Asian",0.0
"Fairfield School District","Osborn Hill School","=""0511811""","Black or African American","*"
"Fairfield School District","Osborn Hill School","=""0511811""","Hispanic/Latino of any race","*"
"Fairfield School District","Osborn Hill School","=""0511811""","Two or More Races","*"
"Fairfield School District","Osborn Hill School","=""0511811""","White",3.6
"Fairfield School District","Riverfield School","=""0511211""","American Indian or Alaska Native","*"
"Fairfield School District","Riverfield School","=""0511211""","Asian","*"
"Fairfield School District","Riverfield School","=""0511211""","Black or African American","*"
"Fairfield School District","Riverfield School","=""0511211""","Hispanic/Latino of any race","*"
"Fairfield School District","Riverfield School","=""0511211""","Two or More Races","*"
"Fairfield School District","Riverfield School","=""0511211""","White",2.9
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","American Indian or Alaska Native","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Asian","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Black or African American","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Hispanic/Latino of any race","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Two or More Races","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","White",5.4
"Fairfield School District","Sherman School","=""0511311""","American Indian or Alaska Native","*"
"Fairfield School District","Sherman School","=""0511311""","Asian","*"
"Fairfield School District","Sherman School","=""0511311""","Black or African American","*"
"Fairfield School District","Sherman School","=""0511311""","Hispanic/Latino of any race",0.0
"Fairfield School District","Sherman School","=""0511311""","Two or More Races","*"
"Fairfield School District","Sherman School","=""0511311""","White",2.3
"Fairfield School District","Tomlinson Middle School","=""0515111""","American Indian or Alaska Native","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""","Asian","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""","Black or African American","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""","Hispanic/Latino of any race",8.0
"Fairfield School District","Tomlinson Middle School","=""0515111""","Two or More Races","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""","White",4.6
"Fairfield School District","Burr Elementary School","=""0510211""","Asian","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Black or African American","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Hispanic/Latino of any race","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Two or More Races","*"
"Fairfield School District","Burr Elementary School","=""0510211""","White",2.2
"Fairfield School District","Dwight Elementary School","=""0510111""","Asian","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Black or African American","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Hispanic/Latino of any race","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Two or More Races","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","White","*"
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Asian",0.0
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Black or African American","*"
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Hispanic/Latino of any race","*"
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Two or More Races","*"
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","White",4.8
"Fairfield School District","Holland Hill School","=""0510411""","Asian","*"
"Fairfield School District","Holland Hill School","=""0510411""","Black or African American","*"
"Fairfield School District","Holland Hill School","=""0510411""","Hispanic/Latino of any race",8.1
"Fairfield School District","Holland Hill School","=""0510411""","Native Hawaiian or Other Pacific Islander","*"
"Fairfield School District","Holland Hill School","=""0510411""","Two or More Races","*"
"Fairfield School District","Holland Hill School","=""0510411""","White",2.6
"Fairfield School District","Jennings School","=""0511711""","Asian","*"
"Fairfield School District","Jennings School","=""0511711""","Black or African American","*"
"Fairfield School District","Jennings School","=""0511711""","Hispanic/Latino of any race",0.0
"Fairfield School District","Jennings School","=""0511711""","Two or More Races","*"
"Fairfield School District","Jennings School","=""0511711""","White",3.0
"Fairfield School District","McKinley School","=""0510611""","Asian","*"
"Fairfield School District","McKinley School","=""0510611""","Black or African American","*"
