"Chronic Absenteeism, 2012-13"
", All Schools, Grade"

"District","District Code","School","School Code","Grade","% Chronically Absent"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Grade   6",4.1
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Grade   7",3.6
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Grade   8",6.8
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Kindergarten",0.0
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Grade   1",0.0
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Grade   2",0.0
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Grade   3","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Grade   4",0.0
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Grade   5",0.0
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Kindergarten","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Grade   1",0.0
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Grade   2","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Grade   3",0.0
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Grade   4",0.0
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Grade   5",0.0
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Grade   6",5.9
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Grade   7",4.7
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Grade   8",6.3
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Kindergarten","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Grade   1",9.8
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Grade   2",0.0
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Grade   3","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Grade   4","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Grade   9",6.1
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Grade 10",7.3
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Grade 11",10.0
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Grade 12",15.6
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Grade   7",5.4
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Grade   8",6.8
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Kindergarten",18.6
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Grade   1","*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Grade   2","*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Grade   3","*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Grade   4","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Kindergarten","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Grade   1","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Grade   2","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Grade   3","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Grade   4","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Kindergarten","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Grade   1","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Grade   2","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Grade   3","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Grade   4","*"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Grade   5",5.1
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Grade   6",6.1
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Kindergarten","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Grade   1","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Grade   2","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Grade   3","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Grade   4","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Grade   5","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Grade   6","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Grade   7","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Grade   8","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Kindergarten","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Grade   1","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Grade   2","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Grade   3","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Grade   4","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Grade   5","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Kindergarten","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Grade   1",0.0
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Grade   2","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Grade   3",0.0
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Grade   4",0.0
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Grade   5","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Grade   6",2.5
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Grade   9",4.2
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Grade 10",5.0
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Grade 11",3.6
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Grade 12",4.7
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Kindergarten","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Grade   1","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Grade   2","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Grade   3","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Grade   4","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Grade   5","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Kindergarten","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Grade   1","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Grade   2","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Grade   3","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Grade   4","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Grade   5","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Kindergarten","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Grade   1","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Grade   2","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Grade   3","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Grade   4","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Grade   5","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Kindergarten","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Grade   1",0.0
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Grade   2","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Grade   3","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Grade   4","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Grade   5",6.9
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Grade   7",2.2
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Grade   8",2.9
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Kindergarten",5.4
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Grade   1",6.2
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Grade   2",6.3
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Grade   9",3.5
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Grade 10","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Grade 11",4.5
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Grade 12","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Grade   7",3.6
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Grade   8",12.3
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Grade   3","*"
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Grade   4","*"
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Grade   5","*"
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Grade   6","*"
