"Chronic Absenteeism, 2011-12"
", All Schools, Special Education Status"

"District","District Code","School","School Code","Special Education Status","% Chronically Absent"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Non-Special Education",52.5
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Special Education",66.2
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Non-Special Education",15.7
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Special Education",36.5
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Non-Special Education",17.6
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Special Education",23.5
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","Non-Special Education",40.7
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","Special Education",52.9
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Non-Special Education","*"
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Special Education","*"
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","Non-Special Education",25.9
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","Special Education",43.8
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","Non-Special Education",24.4
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","Special Education",30.1
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","Non-Special Education",14.5
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","Special Education",13.8
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Non-Special Education",61.5
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Special Education",75.6
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Non-Special Education",55.2
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Special Education",73.9
"Hartford School District","=""0640011""","HPHS Freshmen Academy","=""0647311""","Non-Special Education",60.4
"Hartford School District","=""0640011""","HPHS Freshmen Academy","=""0647311""","Special Education",71.1
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Non-Special Education",43.4
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Special Education",56.1
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Non-Special Education","*"
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Special Education","*"
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""","Special Education",40.6
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Non-Special Education",55.2
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Special Education",56.4
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Non-Special Education",57.5
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Special Education",71.7
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","Non-Special Education",16.3
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","Special Education",27.7
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","Non-Special Education",19.8
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","Special Education",31.6
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","Non-Special Education",31.2
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","Special Education",45.8
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""","Non-Special Education",40.6
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""","Special Education",62.5
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Non-Special Education",35.7
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Special Education",47.5
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Non-Special Education","*"
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Special Education","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Non-Special Education","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Special Education","*"
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Non-Special Education","*"
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Special Education","*"
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Non-Special Education",24.3
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Special Education",19.4
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Non-Special Education",23.0
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Special Education",27.7
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Non-Special Education",5.0
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Special Education",10.2
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Non-Special Education",23.4
"Hartford School District","=""0640011""","SAND School","=""0640111""","Non-Special Education",36.9
"Hartford School District","=""0640011""","SAND School","=""0640111""","Special Education",48.7
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Non-Special Education","*"
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Special Education","*"
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Non-Special Education",32.3
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Special Education",41.0
"Hartford School District","=""0640011""","Sarah J Rawson Middle Grades Academy","=""0645611""","Non-Special Education",12.5
"Hartford School District","=""0640011""","Sarah J Rawson Middle Grades Academy","=""0645611""","Special Education",20.0
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Non-Special Education",23.8
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Special Education",41.1
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Non-Special Education","*"
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Special Education","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Non-Special Education",11.1
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Special Education",36.4
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Non-Special Education",13.5
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Special Education",25.9
